,title,webtoon_link,status,thumb_link,auth,genres,ages,intro,series_url,likes,r_rated,episodes,first_register_date,last_register_date,rates,ages2,rates2,genre1,genre2,genre1_pre,genre2_pre
1190,연애혁명,https://comic.naver.com/webtoon/list?titleId=570503,0,https://shared-comic.pstatic.net/thumb/webtoon/570503/thumbnail/thumbnail_IMAG10_6700d113-36b9-4d4a-a9af-a09527a4f297.jpg,232,"스토리, 드라마",15세 이용가,"평범하면서 금사빠인 고등학생 순정남 공주영은 까칠하고 차가운 여학생 왕자림을 보고 사랑에 빠져버린다.너무 다른 둘, 괜찮을까?",https://series.naver.com/comic/detail.series?originalProductId=226606,100000,0,424.0,2022.06.22,2022.11.23,9.6,2,9.6,스토리,드라마,0,1
1191,연옥님이 보고계셔,https://comic.naver.com/webtoon/list?titleId=58219,1,https://shared-comic.pstatic.net/thumb/webtoon/58219/thumbnail/title_thumbnail_20090202180330_t83x90.jpg,억수씨,"스토리, 드라마",12세 이용가,연옥님은언제 어디서나 어떻게든 보고 있습니다.,https://series.naver.com/comic/detail.series?originalProductId=119095,1236,0,123.0,2009.02.05,2009.02.05,9.5,1,9.5,스토리,드라마,0,1
1192,연우의 순정,https://comic.naver.com/webtoon/list?titleId=752532,1,https://shared-comic.pstatic.net/thumb/webtoon/752532/thumbnail/thumbnail_IMAG10_0bfd510a-19b2-48fb-b5e9-a5bf74e8aaf5.jpg,이솔,"스토리, 감성",15세 이용가,여학생으로 오해받을 정도로 여리여리한 외모를 가진 연우. 그는 교내 인기스타인 강해솔을 몰래 좋아하고 있다.하지만 낯을 굉장히 많이 가리고 소심한 연우는 같은 반인 해솔이에게 말 한 번 붙여본 적 없는데…,,37100,0,95.0,2022.06.27,2022.08.29,9.9788888888889,2,9.98,스토리,감성,0,8
1193,연의 편지,https://comic.naver.com/webtoon/list?titleId=713872,1,https://shared-comic.pstatic.net/thumb/webtoon/713872/thumbnail/thumbnail_IMAG10_28042c72-02b2-420b-b039-68ef8874f95f.jpg,조현아,"스토리, 드라마",전체연령가,​짧았던 여름방학이 끝나고 만난 마법같은 시간.. 그때 우리는 친구였을까?정말 궁금해. 이렇게 다정한 네가 누군지..​여름 특선 10부작.,https://series.naver.com/comic/detail.series?originalProductId=339800,100000,0,12.0,2018.08.11,2018.08.25,9.9,0,9.9,스토리,드라마,0,1
1194,연주동 일가족 살인사건,https://comic.naver.com/webtoon/list?titleId=773648,1,https://shared-comic.pstatic.net/thumb/webtoon/773648/thumbnail/thumbnail_IMAG10_2e872631-dbed-4966-b592-604a21052e95.jpg,후던잇,"스토리, 스릴러",전체연령가,"프로파일러가 되고 싶은 평범한 고3 권성찬.고등학교 졸업 후 대학을 안 가겠다 선언해 부모님과 크게 갈등한다.늦게 하교하며 가족들과 냉랭하게 지내던 어느 비 오는 밤,성찬의 집에서 일가족이 살해당하는 사건이 발생하게 되는데 성찬의 손에 흉기가 들려 있다.현장에서 바로 잡혀간 성찬은 본인의 누명을 벗고, 살인사건의 진실을 파헤치기 위해 가족의 흔적을 추적해간다.성찬은 몰랐던 가족들의 모습을 알아가며 진범을 잡을 실마리를 하나씩 풀게 된다.",https://series.naver.com/comic/detail.series?originalProductId=404149,14,0,51.0,2021.07.12,2021.07.12,9.3,0,9.3,스토리,스릴러,0,3
1195,연하의 맛,https://comic.naver.com/webtoon/list?titleId=759093,1,https://shared-comic.pstatic.net/thumb/webtoon/759093/thumbnail/thumbnail_IMAG10_84dc157b-60c6-406b-949b-c0be458f8a00.jpg,나영 / 승우,"스토리, 로맨스",전체연령가,"남친인 안그림에게 아무런 이유도 듣지 못하고 차인 공인주. 안그림에게 의존해 생활했던 인주는 그림의 빈자리를 크게 느끼며 그를 되찾을 계획을 세운다. 그 계획의 첫 번째는 그림의 질투를 유발하는 것! 이를 위해 봉사활동에서 만난 잘생긴 후배 서윤을 꼬셔보려고 하지만, 서윤에게는 좋아하는 사람이 있었는데…. 사랑을 쟁취하기 위해 동맹을 맺기로 한 두 사람의 끝은…?!",https://series.naver.com/comic/detail.series?originalProductId=369700,377,0,67.0,2020.12.07,2020.12.07,9.2,0,9.2,스토리,로맨스,0,0
1196,열녀박씨 계약결혼뎐,https://comic.naver.com/webtoon/list?titleId=761601,0,https://shared-comic.pstatic.net/thumb/webtoon/761601/thumbnail/thumbnail_IMAG10_5c82ba0c-4f5a-48ef-9847-f7b77e1808f8.jpg,안젤리크 / 닷다 / 김너울,"스토리, 로맨스",12세 이용가,"혼례 첫날밤, 갑작스럽게 서방을 잃은 열녀 박연우. 엎친 데 덮친 격으로 괴한에게 납치당해 우물에 던져졌지만, 눈을 뜬 곳은 21세기 대한민국…?! 설상가상 연우를 구해준 서방님 판박이는 가짜 혼인을 하자고 한다! 당찬 열녀 박씨 연우와 독신주의자 강태하의 동상이몽 계약 결혼.",https://series.naver.com/comic/detail.series?originalProductId=420431,1972,0,100.0,2022.09.19,2022.11.21,9.9,1,9.9,스토리,로맨스,0,0
1197,열대어,https://comic.naver.com/webtoon/list?titleId=703629,1,https://shared-comic.pstatic.net/thumb/webtoon/703629/thumbnail/thumbnail_IMAG10_e92d5bd9-01a6-462a-9bd8-6b8e697875ea.jpg,실버벨,"에피소드, 개그",전체연령가,누구보다 친근한 생선들이 온다!10대 핵공감툰.,,64570,0,105.0,2018.12.02,2019.01.02,9.93950000000001,0,9.94,에피소드,개그,1,5
1198,열등의 조건,https://comic.naver.com/webtoon/list?titleId=733638,1,https://shared-comic.pstatic.net/thumb/webtoon/733638/thumbnail/thumbnail_IMAG10_67290a2d-62c0-4e47-8170-5d8714281300.jpg,또이,"스토리, 드라마",12세 이용가,전교 2등만 해오던 정아.불안감에 시험지를 훔치게 된다.,https://series.naver.com/comic/detail.series?originalProductId=375809,32064,0,55.0,2019.09.11,2019.10.23,9.7,1,9.7,스토리,드라마,0,1
1199,열렙전사,https://comic.naver.com/webtoon/list?titleId=670152,1,https://shared-comic.pstatic.net/thumb/webtoon/670152/thumbnail/title_thumbnail_20160122210643_t83x90.jpg,김세훈,"스토리, 판타지",12세 이용가,"'퀘스트를 클리어 하는 자, 모든 것을 얻을 것이다'현실 밖의 현실, 루시드 어드벤쳐 최강의 용사 '열렙전사'와 동료들이 벌이는 본격 RPG 어드벤쳐.",https://series.naver.com/comic/detail.series?originalProductId=223345,100000,0,319.0,2016.02.27,2016.04.30,9.3,1,9.3,스토리,판타지,0,2
