user,webtoon_title,webtoon_num,webtoon_ratings
36,외모지상주의,1286,4
37,신의 탑,1000,5
40,갓 오브 하이스쿨,23,4
40,연애혁명,1191,1
40,외모지상주의,1286,5
41,기기괴괴,187,5
41,냐한남자,293,5
41,연애혁명,1191,5
42,김부장,200,5
42,내 남편과 결혼해줘,276,5
42,소녀의 세계,892,4
42,연애혁명,1191,2
42,재혼 황후,1461,5
42,하루만 네가 되고 싶어,1807,5
43,경자 전성시대,72,4
43,공감.jpg,94,1
43,랑데뷰,456,5
43,연애의 정령,1189,4
43,헬퍼,1866,5
43,호랑이형님,1882,5
44,남과 여,265,5
44,캐슬,1639,6
44,헬퍼,1866,1
45,중증외상센터 : 골든 아워,1532,6
45,1초,1992,6
46,개판,42,5
46,격투기특성화사립고교 극지고,60,5
46,결계녀,64,5
46,고삼이 집나갔다,85,5
46,공대생 너무만화,95,5
46,귀도호가록,145,5
46,그린보이,174,5
46,금수저,181,5
46,기사도,191,5
46,나란의사 그런의사,233,3
46,남기한엘리트만들기,266,5
46,내 ID는 강남미인! - 둘만의 시간,275,5
46,돌아온 럭키짱,408,5
46,동네변호사 조들호 시즌1,412,5
46,동네변호사 조들호 시즌2,413,5
46,리얼주주,490,5
46,마음의소리,522,5
46,마이너스의 손,523,4
46,마주쳤다,524,3
46,만렙소녀 오오라,530,5
46,머니게임,544,5
46,모태솔로수용소,572,5
46,목욕의 신,576,5
46,몽타주,580,5
46,무한동력,593,5
46,방과 후 전쟁활동,659,5
46,뱀이 앉은 자리,676,5
46,비흔,772,5
46,빙탕후루,777,5
46,사랑의 아쿠아리움,797,5
46,삼봉이발소,836,5
46,상중하,842,5
46,새끼손가락,843,6
46,서북의 저승사자,855,5
46,스토커,953,5
46,스퍼맨 시즌1,959,5
46,스퍼맨 시즌2,960,5
46,스퍼맨3: 현자단의 역습,961,5
46,스퍼맨4 : 전하지 못한 이야기,962,5
46,신과함께,986,5
46,신암행어사,997,3
46,실질객관동화,1006,5
46,싸우자귀신아,1016,4
46,쎈놈,1024,5
46,아기낳는만화,1030,5
46,아부쟁이,1042,5
46,아빠를 찾습니다,1044,4
46,아이들의 권 선생님,1055,5
46,안나라수마나라,1087,5
46,어른스러운 철구,1123,5
46,어서오세요.305호에,1128,4
46,여탕보고서,1177,5
46,역전! 야매요리,1179,5
46,연,1181,6
46,연애의 정령,1189,5
46,오빠 왔다,1249,5
46,웃지 않는 개그반 시즌1~2,1326,5
46,월남특급,1337,4
46,은하연인전,1369,4
46,이말년 서유기,1382,5
46,이말년씨리즈,1383,5
46,이말년씨리즈 2018,1384,5
46,인생존망,1414,5
46,일등당첨,1423,5
46,입시명문사립 정글고등학교,1435,5
46,조선왕조실톡,1499,5
46,조선좀비실록,1500,4
46,조의 영역,1502,5
46,진진돌이 에볼루션,1552,4
46,진진돌이 제로,1553,4
46,질풍기획 시즌1,1556,5
46,질풍기획 시즌2,1557,5
46,찌질의 역사,1567,5
46,천년구미호,1588,5
46,철벽! 연애 시뮬레이션,1601,5
46,초록인간,1612,5
46,키드갱,1659,5
46,타임인조선,1676,5
46,테러맨,1694,5
46,패밀리맨,1737,5
46,패션왕,1739,5
46,폭풍의 전학생,1756,5
46,한섬세대,1830,4
46,헬퍼,1866,5
46,혈액형에 관한 간단한 고찰,1874,5
46,호랭총각,1883,5
46,"17살, 그 여름날의 기적",1989,4
46,2호선 세입자,2028,5
46,3단합체김창남,2034,6
47,고수,86,4
47,광장,108,4
47,나타나주세요!,254,4
47,남과 여,265,4
47,대학원 탈출일지,371,4
47,독립일기,404,4
47,무서운게 딱좋아!,589,1
47,물고기가 보이는 남자,600,6
47,물위의 우리,604,3
47,민간인 통제구역,630,4
47,별이삼샵,703,4
47,생존로그,850,1
47,세기말 풋사과 보습학원,875,5
47,슈퍼 시크릿,938,3
47,신과함께,986,5
47,어느날 갑자기 서울은,1119,3
47,언다잉,1135,3
47,여고생 드래곤,1158,4
47,여중생A,1175,4
47,외모지상주의,1286,4
47,용비불패 완전판,1295,4
47,위아더좀비,1347,6
47,윈드브레이커,1352,4
47,유미의 세포들 외전 : 프로 직장인,1358,6
47,이두나!,1380,3
47,인생존망,1414,5
47,일렉시드,1424,4
47,좀비딸,1508,5
47,죽음에 관하여,1525,5
47,캐슬,1639,4
47,하루의 하루,1808,3
47,합격시켜주세용,1836,5
47,호랑이형님,1882,4
47,화산귀환,1903,5
48,광장,108,5
48,노블레스,316,1
49,빌드업,774,6
50,갓 오브 하이스쿨,23,5
50,"그 개, 만두",151,4
50,그 황제가 시곗바늘을 되돌린 사연,158,1
50,꽃만 키우는데 너무강함,213,4
50,놓지마 정신줄,320,5
50,달의 요람,352,1
50,더 게이머,373,1
50,독립일기,404,4
50,돌아온 럭키짱,408,1
50,두 번째 딸로 태어났습니다,421,3
50,레사 시즌1,464,6
50,레사 시즌2~3,465,6
50,마루는 강쥐,505,5
50,마른 가지에 바람처럼,507,5
50,마왕의 고백,519,5
50,먹는 인생,546,5
50,묘령의 황자,583,5
50,반귀,647,3
50,백년게임,671,3
50,버그이터,681,4
50,버려진 나의 최애를 위하여,683,3
50,봐선 안되는 것,723,3
