,no,title,link,status,author,fake_intro,real_intro,likes,episodes,first_register_date,last_register_date,age,rate,genre1_pre,genre2_pre,thumb_link
1840,1841,해일로의 아침,https://comic.naver.com/webtoon/list?titleId=784818,0,박장고 / 이우,‘코로나 종식 이후에는 행복한 삶이 올까?’우환을 극복하기 위해 교통비마저도 아끼려 지난 1년 동안 10km 거리를 뛰어서 등교했던 해일로. 사서 고생한 달리기가 2023년 코로나 종식 기념 마라톤 대회에서 빛을 발하며 희망을 전파한다.,‘코로나 종식 이후에는 행복한 삶이 올까?’우환을 극복하기 위해 교통비마저도 아끼려 지난 1년 동안 10km 거리를 뛰어서 등교했던 해일로. 사서 고생한 달리기가 2023년 코로나 종식 기념 마라톤 대회에서 빛을 발하며 희망을 전파한다.,158,67.0,2021.11.11,2021.11.11,0,9.9,0,9,https://shared-comic.pstatic.net/thumb/webtoon/784818/thumbnail/thumbnail_IMAG10_2f9cde20-5d60-4d7b-95e5-e6686e02b1bc.jpg
1841,1842,해피,https://comic.naver.com/webtoon/list?titleId=669357,1,박설화,"당신이 쫓고 있는 행복의 실체를 찾아서
SBA-서울문화사-네이버가 함께하는 2015 만화 스카우트 당선작입니다.","당신이 쫓고 있는 행복의 실체를 찾아서
SBA-서울문화사-네이버가 함께하는 2015 만화 스카우트 당선작입니다.",23908,26.0,2016.04.10,2016.06.12,0,9.83,0,1,https://shared-comic.pstatic.net/thumb/webtoon/669357/thumbnail/title_thumbnail_20151217155836_t83x90.jpg
1842,1843,해피니스,https://comic.naver.com/webtoon/list?titleId=784990,1,"진철수, 박시현 / 정석현","같은 출발, 다른 전개! 드라마 <해피니스>와는 또 다른 새봄과 이현의 이야기!고등학교 때부터 서로 남다른 인상을 심어준 형사 이현과 그의 생명의 은인인 경찰특공대 새봄, 둘은 각자의 사심을 채우기 위해 위장 결혼을 하게 된다.결혼을 통해 꿈에 그리던 '내 집'을 갖게 된 새봄과 고등학교 때부터 남몰래 새봄을 짝사랑해온 이현은 새로운 관계와 앞으로의 삶에 설레지만,그 설렘도 잠시, 둘의 안락한 보금자리에 사람을 물어뜯는 감염자가 나타난다.","같은 출발, 다른 전개! 드라마 <해피니스>와는 또 다른 새봄과 이현의 이야기!고등학교 때부터 서로 남다른 인상을 심어준 형사 이현과 그의 생명의 은인인 경찰특공대 새봄, 둘은 각자의 사심을 채우기 위해 위장 결혼을 하게 된다.결혼을 통해 꿈에 그리던 '내 집'을 갖게 된 새봄과 고등학교 때부터 남몰래 새봄을 짝사랑해온 이현은 새로운 관계와 앞으로의 삶에 설레지만,그 설렘도 잠시, 둘의 안락한 보금자리에 사람을 물어뜯는 감염자가 나타난다.",74,51.0,2021.11.12,2021.11.12,2,9.7,0,1,https://shared-comic.pstatic.net/thumb/webtoon/784990/thumbnail/thumbnail_IMAG10_db437f57-6c80-4b0a-a271-2ce918ad501c.jpg
1843,1844,햄버거가 제일 좋아,https://comic.naver.com/webtoon/list?titleId=801820,0,용현 / 민국,"전남친과의 이별로 '사람알레르기'가 생긴 무화과, 과연 연애에 성공할 수 있을까?초겨울 아직 텅 빈 신도시에서 만나게 된 자유로운 외톨이들의 눅눅한 사랑 이야기.","전남친과의 이별로 '사람알레르기'가 생긴 무화과, 과연 연애에 성공할 수 있을까?초겨울 아직 텅 빈 신도시에서 만나게 된 자유로운 외톨이들의 눅눅한 사랑 이야기.",92,9.0,2022.10.31,2022.11.21,0,9.5,0,0,https://shared-comic.pstatic.net/thumb/webtoon/801820/thumbnail/thumbnail_IMAG10_bf4092dc-ba61-447a-a80b-9d25dcae6060.jpg
1844,1845,행복을 만드는 방법,https://comic.naver.com/webtoon/list?titleId=784840,1,적목,"사채 빚만 삼천만원, 23살 여대생 강소신. 더 이상 물러날 곳이 없는 그녀의 눈 앞에 아낌없이 주는 단짝친구 이아람이 나타난다.용모 수려, 재력 겸비, 친절 온화, 모든 이들에게 사랑받는 아람이 원하는 것은 단 하나, 강소신이다.화려한 새장에 갇히는 것은 죽기보다 싫은 강소신, 그녀의 손에서 벗어나기 위해 안간힘을 쓰기 시작한다.","사채 빚만 삼천만원, 23살 여대생 강소신. 더 이상 물러날 곳이 없는 그녀의 눈 앞에 아낌없이 주는 단짝친구 이아람이 나타난다.용모 수려, 재력 겸비, 친절 온화, 모든 이들에게 사랑받는 아람이 원하는 것은 단 하나, 강소신이다.화려한 새장에 갇히는 것은 죽기보다 싫은 강소신, 그녀의 손에서 벗어나기 위해 안간힘을 쓰기 시작한다.",91,54.0,2021.11.11,2021.11.11,2,9.4,0,1,https://shared-comic.pstatic.net/thumb/webtoon/784840/thumbnail/thumbnail_IMAG10_0418a7f5-6810-4b04-b098-fe4a46103ddf.jpg
1845,1846,행성인간,https://comic.naver.com/webtoon/list?titleId=733047,1,조석,내가 어떤 존재들의 행성이라면?조석 작가가 그리는 신개념 스릴러,내가 어떤 존재들의 행성이라면?조석 작가가 그리는 신개념 스릴러,61036,100.0,2019.09.07,2019.10.05,2,9.8,0,3,https://shared-comic.pstatic.net/thumb/webtoon/733047/thumbnail/thumbnail_IMAG10_eea47446-e3b9-4cce-b291-222f0699e77a.jpg
1846,1847,행운소년소녀,https://comic.naver.com/webtoon/list?titleId=789989,1,S위밍,"[ 운을 공유하는 쌍둥이 이야기 ]내가 사랑하는 사람이 불행해져야 내가 행복해질 수 있다면...? 쌍둥이, 비량과 비별의 수장이 되기 위한 행운 매치.","[ 운을 공유하는 쌍둥이 이야기 ]내가 사랑하는 사람이 불행해져야 내가 행복해질 수 있다면...? 쌍둥이, 비량과 비별의 수장이 되기 위한 행운 매치.",3,169.0,2022.02.21,2022.02.21,0,9.4,0,7,https://shared-comic.pstatic.net/thumb/webtoon/789989/thumbnail/thumbnail_IMAG10_485d78e9-4b6c-481e-811e-4118eb0aeca0.jpg
1847,1848,행운을 부탁해!,https://comic.naver.com/webtoon/list?titleId=799868,0,해롱,"온갖 불행을 달고 사는 불운의 주인공, '허윤!' 그런 허윤 앞에 나타난 이상하고 아름다운 남자, '앙드레!' 허윤을 자신의 매니저라고 부르는 앙드레의 정체는 바로, 신을 뽑는 오디션 'SHOW ME THE GRACE'의 후보생. 이상하게도 그의 곁에 있으면 잠시나마 행운을 맛볼 수 있다!? 달콤한 제안에 넘어간 불행 인간 허윤과 까다로운 은총 소유자 앙드레의 좌충우돌 계약 동거가 시작된다!","온갖 불행을 달고 사는 불운의 주인공, '허윤!' 그런 허윤 앞에 나타난 이상하고 아름다운 남자, '앙드레!' 허윤을 자신의 매니저라고 부르는 앙드레의 정체는 바로, 신을 뽑는 오디션 'SHOW ME THE GRACE'의 후보생. 이상하게도 그의 곁에 있으면 잠시나마 행운을 맛볼 수 있다!? 달콤한 제안에 넘어간 불행 인간 허윤과 까다로운 은총 소유자 앙드레의 좌충우돌 계약 동거가 시작된다!",51,16.0,2022.09.18,2022.11.20,0,8.7,0,0,https://shared-comic.pstatic.net/thumb/webtoon/799868/thumbnail/thumbnail_IMAG10_e92749f8-4287-4a4f-a016-4f7cc16248a0.jpg
1848,1849,"행운을 빌어요, 용사님!",https://comic.naver.com/webtoon/list?titleId=775334,0,송현주,"전생에 무찌른 마왕이 현생의 직장 상사?!마왕을 무찌른 용사의 기억을 가지고 다시 태어난 평범한 직장인 백영웅!용사의 기억이 도움이 된 건 어릴 적 웹소설을 썼을 때뿐! 영웅은 현실에서 쓸모없는 전생의 기억을 아쉬워하며 가까스로 대기업인 대룡 ENT의 대표 이사 비서실에 취직한다. 그런데 처음 만난 대표 이사 도연화에게 전생에서 경험한 적 있는 긴장감과 떨림을 느끼는데…? 이건 마치, 아주 강한 마수를 마주했을 때와 같아…!!전생 마왕, 대표 이사와 전생 용사, 말단 비서의 지독하게 얽힌 로맨스!","전생에 무찌른 마왕이 현생의 직장 상사?!마왕을 무찌른 용사의 기억을 가지고 다시 태어난 평범한 직장인 백영웅!용사의 기억이 도움이 된 건 어릴 적 웹소설을 썼을 때뿐! 영웅은 현실에서 쓸모없는 전생의 기억을 아쉬워하며 가까스로 대기업인 대룡 ENT의 대표 이사 비서실에 취직한다. 그런데 처음 만난 대표 이사 도연화에게 전생에서 경험한 적 있는 긴장감과 떨림을 느끼는데…? 이건 마치, 아주 강한 마수를 마주했을 때와 같아…!!전생 마왕, 대표 이사와 전생 용사, 말단 비서의 지독하게 얽힌 로맨스!",202,53.0,2022.04.14,2022.11.24,0,9.87,0,0,https://shared-comic.pstatic.net/thumb/webtoon/775334/thumbnail/thumbnail_IMAG10_ca5778ad-2012-4454-b097-872df535c4ff.jpg
1849,1850,향수,https://comic.naver.com/webtoon/list?titleId=25695,1,석우,"행복했었던 나의 어린 시절. 그러나, 그에게는 잔인한 기억일지도 모른다. 향수, 그 잔인한 추억","행복했었던 나의 어린 시절. 그러나, 그에게는 잔인한 기억일지도 모른다. 향수, 그 잔인한 추억",3106,50.0,2008.02.21,2008.02.25,0,8.4,0,3,https://shared-comic.pstatic.net/thumb/webtoon/25695/thumbnail/thumbnail_title_25695_83x90.gif
