,no,title,link,status,author,fake_intro,real_intro,likes,episodes,first_register_date,last_register_date,age,rate,genre1_pre,genre2_pre,thumb_link
0,1,가난을 등에 업은 소녀,https://comic.naver.com/webtoon/list?titleId=756056,1,B급달궁 / 오은지,흔하디 흔한 재벌후계자와 캔디도 울고 갈 박복한 가난소녀의 파란만장 동거기!인기작 <다세포소녀>의 웹툰판! 만화 내에서 정말 유일하게 제대로 된 사고방식을 가지고 있는 소녀. 하지만 등에 업고 있는 '가난' 때문에 참 많이 고생을 한다. 오죽하면 실사판에서도 등에 '가난' 인형을 업고 있다.,흔하디 흔한 재벌후계자와 캔디도 울고 갈 박복한 가난소녀의 파란만장 동거기!인기작 <다세포소녀>의 웹툰판!,344,28.0,2020.10.19,2020.10.19,0,9.6,0,0,https://shared-comic.pstatic.net/thumb/webtoon/756056/thumbnail/thumbnail_IMAG10_a24bd6d3-7728-4f03-bb60-261f8749d49e.jpg
1,2,가담항설,https://comic.naver.com/webtoon/list?titleId=670144,1,랑또,"이번 주인공은 돌이다!돌이지만 동료도 모으고 악당도 물리친다!랑또 작가표 동양 판타지 소년만화 능력은 있지만 신분을 벗어나지 못한 노비의 소원 덕택에 돌이 사람이 되고 콤비가 된 둘은 왕에게 자신들의 모험담을 알리기위해 떠난다는 동양 판타지 소년 만화다. 작가가 작가인지라 숱한 개그로 작품성이 흐트러질까 걱정하는 시선도 있었지만, 기본적으로 소년 왕도물을 철저히 따라간다. 중간중간 코미디적인 분위기도 있지만, 기본 전개와는 철저히 구별되어 나타난다.",이번 주인공은 돌이다!돌이지만 동료도 모으고 악당도 물리친다!랑또 작가표 동양 판타지 소년만화,100000,247.0,2016.06.01,2016.08.03,1,9.9,0,2,https://shared-comic.pstatic.net/thumb/webtoon/670144/thumbnail/title_thumbnail_20151230192753_t83x90.jpg
2,3,가령의 정체불명 이야기,https://comic.naver.com/webtoon/list?titleId=732071,1,가령,어느 날... 인어가 내게 말을 걸어왔다. 눈을 떠보니 총구가 있었다. 그리고 몸이 연기처럼 사라지기 시작했다. 판타지보다 비현실적인 우리의 회색빛 이야기.,어느 날... 인어가 내게 말을 걸어왔다. 눈을 떠보니 총구가 있었다. 그리고 몸이 연기처럼 사라지기 시작했다. 판타지보다 비현실적인 우리의 회색빛 이야기.,38392,25.0,2019.08.19,2019.09.02,2,9.9,2,1,https://shared-comic.pstatic.net/thumb/webtoon/732071/thumbnail/thumbnail_IMAG10_0c96b047-dba2-40c8-8558-8622a8d53d9b.jpg
3,4,가비지타임,https://comic.naver.com/webtoon/list?titleId=703844,0,2사장,"한국 최초 한국형 고교스포츠 웹툰!열혈따윈 개나 줘, 낙오자들 뿐인 농구부의 운명은? 전국 최약체로 손꼽히는 지상고등학교 농구부에 새로운 감독이 부임하면서 일어나는 에피소드를 담고 있다. KBL에서 뛰었던 천기범선수가 재학중이던 시절 부산중앙고등학교 농구부[3]를 모티브로 한 작품이다.","한국 최초 한국형 고교스포츠 웹툰!열혈따윈 개나 줘, 낙오자들 뿐인 농구부의 운명은?",81510,149.0,2022.05.07,2022.11.19,0,9.9,0,9,https://shared-comic.pstatic.net/thumb/webtoon/703844/thumbnail/thumbnail_IMAG10_066e135a-2899-4b96-8ec1-7c633d616e1f.jpg
4,5,가상&RPG,https://comic.naver.com/webtoon/list?titleId=785701,0,주다현,"""사람은 좀 죽여도 싸우는건 싫어해요."" 게임에서조차 집 바깥을 나가지 않는 '제리'. 전투는 한 번도 안해봤는데, 에픽 무기가 귀속되었다? 가상현실 액션 RPG 모브사가 온라인. 그 고인물들의 군상극.","""사람은 좀 죽여도 싸우는건 싫어해요."" 게임에서조차 집 바깥을 나가지 않는 '제리'. 전투는 한 번도 안해봤는데, 에픽 무기가 귀속되었다? 가상현실 액션 RPG 모브사가 온라인. 그 고인물들의 군상극.",357,42.0,2022.08.17,2022.10.19,1,9.9,0,2,https://shared-comic.pstatic.net/thumb/webtoon/785701/thumbnail/thumbnail_IMAG10_1daf0900-0f55-4fc7-a59e-0ec3e975409a.jpg
5,6,가슴털 로망스,https://comic.naver.com/webtoon/list?titleId=729963,1,갸오오,최고의 상남자가 되기 위한 여행을 떠나는 장호풍과 친구들명언범벅 눈물범벅 의리범벅 개그만화! 최고의 상남자가 되기 위해 이미 충분히 상남자인데도 여행을 하는 장호풍의 이야기를 다룬다. 가슴털과 근육이 숨막히게 많은 마초들과 콧구멍맨의 협력을 받은듯한 명언이 넘치는 감동만화. 사나이의 도시 잠실로 향하면서부터는 능력자 배틀물로 변질(...)되었다. 근데 명언이 넘치는 사나이들의 이야기라는 것은 상관없이 같다,최고의 상남자가 되기 위한 여행을 떠나는 장호풍과 친구들명언범벅 눈물범벅 의리범벅 개그만화!,54594,137.0,2021.11.25,2022.01.27,0,9.95,0,5,https://shared-comic.pstatic.net/thumb/webtoon/729963/thumbnail/thumbnail_IMAG10_43c309d8-19f8-4ad6-8ad4-707208fbaeb0.jpg
6,7,가우스전자,https://comic.naver.com/webtoon/list?titleId=799793,1,곽백수,다국적 문어발 기업 가우스전자 마케팅3부 이야기곽백수 작가가 선보이는 본격 직장인 만화! 개그물이지만 블랙 코미디의 성격이 강하다,다국적 문어발 기업 가우스전자 마케팅3부 이야기곽백수 작가가 선보이는 본격 직장인 만화!,17,417.0,2022.09.21,2022.09.21,0,9.4,1,6,https://shared-comic.pstatic.net/thumb/webtoon/799793/thumbnail/thumbnail_IMAG10_139f4342-76bc-4c3c-bc9d-cae409193d13.jpg
7,8,가족같은 XX,https://comic.naver.com/webtoon/list?titleId=790239,0,서우현,"탑 배우 한나나는 우연히 갈 곳 없는 고등학생 유성우를 집에 들인다.아슬아슬한 동거가 시작된 가운데, 갑자기 좋아하던 선배 이한이 다가오기 시작하는데..?!가족 같은 남자와 가족이 되고 싶은 남자, 누가 진짜 가족이 될까?","탑 배우 한나나는 우연히 갈 곳 없는 고등학생 유성우를 집에 들인다.아슬아슬한 동거가 시작된 가운데, 갑자기 좋아하던 선배 이한이 다가오기 시작하는데..?!가족 같은 남자와 가족이 되고 싶은 남자, 누가 진짜 가족이 될까?",334,44.0,2022.09.21,2022.11.23,2,9.9,0,0,https://shared-comic.pstatic.net/thumb/webtoon/790239/thumbnail/thumbnail_IMAG10_04f93d8c-988d-499c-b673-b05aa00ed77a.jpg
8,9,가족의 초상,https://comic.naver.com/webtoon/list?titleId=753385,1,김승택,"할머니의 죽음과 그로 인한 가족들의 변화를 겪어 나가면서, 당연하게만 생각했던 가족의 소중함을 깨닫게 되는 이야기이다.","할머니의 죽음과 그로 인한 가족들의 변화를 겪어 나가면서, 당연하게만 생각했던 가족의 소중함을 깨닫게 되는 이야기이다.",222,47.0,2020.09.28,2020.09.28,1,9.5,1,1,https://shared-comic.pstatic.net/thumb/webtoon/753385/thumbnail/thumbnail_IMAG10_13ca7cac-0ad7-47d1-b844-6833f40b9e5e.jpg
9,10,가짜 동맹,https://comic.naver.com/webtoon/list?titleId=788167,0,케냠,소꿉친구와 하루아침에 커플이 되었다?!통제가 강한 부모님들을 안심 시키고 자유롭게 생활하기 위해 동맹을 맺은 두 모범생 ‘윤세이’와 ‘김재하’.동맹을 들킬 위기를 모면하기 위한 두 사람의 가짜 커플 행세가 시작된다! 2021 네이버웹툰 지상최대 공모전 웹툰 부문 1기 장려상 수상작이다,소꿉친구와 하루아침에 커플이 되었다?!통제가 강한 부모님들을 안심 시키고 자유롭게 생활하기 위해 동맹을 맺은 두 모범생 ‘윤세이’와 ‘김재하’.동맹을 들킬 위기를 모면하기 위한 두 사람의 가짜 커플 행세가 시작된다!,624,50.0,2022.09.20,2022.11.22,0,9.9,0,0,https://shared-comic.pstatic.net/thumb/webtoon/788167/thumbnail/thumbnail_IMAG10_c57ca45f-4229-4a8c-9500-1684a3926aa7.jpg
10,11,가짜인간,https://comic.naver.com/webtoon/list?titleId=766504,1,0환이 / 반얀,"폭력을 일삼던 엄마의 손에서 벗어나 동생 수아와 단둘이 살게 된 지아는무슨 일이 있어도 동생을 행복하게 해주기 위해 늘 고군분투한다.그러던 어느 날, 여느 때와 다름없이 아르바이트를 하던 지아는 수련회에 간 수아의 번호로 이상한 문자를 받게 된다.수련회장이 아닌 낯선 곳에 왔다는 수아,'수아는 앞으로 행복한 삶을 살게 될 것'이라 말하는 정체불명의 누군가.그날의 문자를 끝으로 수아는 돌아오지 않고, 주변 사람들은 모두 무심하거나 수상하다.언제까지고 다른 이들의 도움을 기다릴 수는 없는 상황.동생을 되찾는 방법은 지아, 자신이 스스로 나서는 것 하나뿐이다.고등학교 친구 원승을 데리고 험난한 여정을 떠나는 그녀는 수아의 실종 뒤에 드리운 기묘한 사이비 종교의 소용돌이를 파고들어야 한다.","폭력을 일삼던 엄마의 손에서 벗어나 동생 수아와 단둘이 살게 된 지아는무슨 일이 있어도 동생을 행복하게 해주기 위해 늘 고군분투한다.그러던 어느 날, 여느 때와 다름없이 아르바이트를 하던 지아는 수련회에 간 수아의 번호로 이상한 문자를 받게 된다.수련회장이 아닌 낯선 곳에 왔다는 수아,'수아는 앞으로 행복한 삶을 살게 될 것'이라 말하는 정체불명의 누군가.그날의 문자를 끝으로 수아는 돌아오지 않고, 주변 사람들은 모두 무심하거나 수상하다.언제까지고 다른 이들의 도움을 기다릴 수는 없는 상황.동생을 되찾는 방법은 지아, 자신이 스스로 나서는 것 하나뿐이다.고등학교 친구 원승을 데리고 험난한 여정을 떠나는 그녀는 수아의 실종 뒤에 드리운 기묘한 사이비 종교의 소용돌이를 파고들어야 한다.",321,45.0,2021.05.15,2021.06.26,2,9.1,0,3,https://shared-comic.pstatic.net/thumb/webtoon/766504/thumbnail/thumbnail_IMAG10_c90c55a5-0214-4e72-b6eb-658e6227b935.jpg
11,12,가타부타타,https://comic.naver.com/webtoon/list?titleId=729040,1,숭어,"모든 게 서툴고 어색했던 중학교 2학년 15살의 첫 연애.그렇게 헤어졌던 첫사랑을 같은 대학, 자취방 바로 옆집에서 다시 마주하다! 사랑이 뭔지, 연애가 뭔지 아직도 헷갈리고 서툴기만 한 스무 살. 과연 이번엔스스로에게 당당하고 서로를 솔직하게 마주하는 연애에 성공할 수 있을까?","모든 게 서툴고 어색했던 중학교 2학년 15살의 첫 연애.그렇게 헤어졌던 첫사랑을 같은 대학, 자취방 바로 옆집에서 다시 마주하다! 사랑이 뭔지, 연애가 뭔지 아직도 헷갈리고 서툴기만 한 스무 살. 과연 이번엔스스로에게 당당하고 서로를 솔직하게 마주하는 연애에 성공할 수 있을까?",100000,70.0,2019.06.12,2019.07.17,0,9.9,0,0,https://shared-comic.pstatic.net/thumb/webtoon/729040/thumbnail/thumbnail_IMAG10_41b89b63-be1c-4b44-80a8-4e5a256804df.jpg
12,13,각자의 디데이,https://comic.naver.com/webtoon/list?titleId=749055,1,오묘,헤어졌지만 헤어지지 않은 사이솔직하지 못한 우리들 어떻게 될까요?,헤어졌지만 헤어지지 않은 사이솔직하지 못한 우리들 어떻게 될까요?,100000,54.0,2020.06.30,2020.08.11,0,10.0,0,0,https://shared-comic.pstatic.net/thumb/webtoon/749055/thumbnail/thumbnail_IMAG10_0044b373-58c8-4a94-b764-cfdde8b59d79.jpg
13,14,간질간질,https://comic.naver.com/webtoon/list?titleId=702165,1,손하은,버스에서 시작된 간질간질 첫사랑2017 <청춘로맨스 대전> 우수상 수상작,버스에서 시작된 간질간질 첫사랑2017 <청춘로맨스 대전> 우수상 수상작,61351,52.0,2017.10.23,2017.11.20,0,8.9,0,0,https://shared-comic.pstatic.net/thumb/webtoon/702165/thumbnail/thumbnail_IMAG10_68f82b34-0039-440a-a731-0f44ad25f942.jpg
14,15,간첩 18세,https://comic.naver.com/webtoon/list?titleId=799503,0,팀꿀빨 / 김주인,어린시절부터 북한에서 훈련받은 고아 출신 하진.그는 어린소년들을 내려보내 남한의 고위층으로 키우고자 하는 북의 계획에 발탁되어 남한으로 넘어온다.“이용당하지 않기 위해선 먹는쪽에 서야 한다”북에 이용당하기 보다 이용하고자 하는 그는 볼모로잡힌 동생을 구할 힘을 가지기 위해남과북의 조직들을 하나씩 잡아먹는다.,어린시절부터 북한에서 훈련받은 고아 출신 하진.그는 어린소년들을 내려보내 남한의 고위층으로 키우고자 하는 북의 계획에 발탁되어 남한으로 넘어온다.“이용당하지 않기 위해선 먹는쪽에 서야 한다”북에 이용당하기 보다 이용하고자 하는 그는 볼모로잡힌 동생을 구할 힘을 가지기 위해남과북의 조직들을 하나씩 잡아먹는다.,94,18.0,2022.09.16,2022.11.18,2,9.1,0,4,https://shared-comic.pstatic.net/thumb/webtoon/799503/thumbnail/thumbnail_IMAG10_3780d23d-4941-477c-9497-6d2dd56afc4d.jpg
15,16,간택주의보,https://comic.naver.com/webtoon/list?titleId=798333,0,은겸 / 연개 / 진숙,"벗을 위해 변장 후 기방에 들어간 소진.우연히 헐벗은 사내, 이헌을 마주하게 되는데, 낯설지 않은 그는 바로 1년 전 소진이 구해준 사내.왕세자 이헌은 잃어버린 기억을 되찾기 위해 소진을 유혹하기 시작하는데, 벗을 찾으러 세자빈 간택을 이용해 궐에 잠입하려는 소진.완벽한 계획에 변수가 생기고 간택에서 떨어져야만 하는 소진에게 ‘로맨스주의보’가 내려졌다!","벗을 위해 변장 후 기방에 들어간 소진.우연히 헐벗은 사내, 이헌을 마주하게 되는데, 낯설지 않은 그는 바로 1년 전 소진이 구해준 사내.왕세자 이헌은 잃어버린 기억을 되찾기 위해 소진을 유혹하기 시작하는데, 벗을 찾으러 세자빈 간택을 이용해 궐에 잠입하려는 소진.완벽한 계획에 변수가 생기고 간택에서 떨어져야만 하는 소진에게 ‘로맨스주의보’가 내려졌다!",22,31.0,2022.07.31,2022.07.31,2,10.0,0,0,https://shared-comic.pstatic.net/thumb/webtoon/798333/thumbnail/thumbnail_IMAG10_a861e816-1307-4bff-a855-d19439a9d6b3.jpg
16,17,갇힌 방,https://comic.naver.com/webtoon/list?titleId=791676,0,찡나 / 지언,"남의 개인정보를 수집하여 뒤를 캐는 주인공.동경하는 같은 반 남학생의 계정을 해킹하고, 상상도 못할 행적을 캐낸다.충격 받은 플은 겁을 주려고 익명 메세지를 보내게 되고, 그 뒤 남학생은 홀연이 모습을 감춘다.며칠이 지나고 주인공은 컴퓨터 한 대만 있는 방에 갇혀 눈을 뜨게 되는데…과연 주인공은 컴퓨터 한 대로 갇힌 방에서 자신을 가둔 범인을 찾고 탈출할 수 있을까?","남의 개인정보를 수집하여 뒤를 캐는 주인공.동경하는 같은 반 남학생의 계정을 해킹하고, 상상도 못할 행적을 캐낸다.충격 받은 플은 겁을 주려고 익명 메세지를 보내게 되고, 그 뒤 남학생은 홀연이 모습을 감춘다.며칠이 지나고 주인공은 컴퓨터 한 대만 있는 방에 갇혀 눈을 뜨게 되는데…과연 주인공은 컴퓨터 한 대로 갇힌 방에서 자신을 가둔 범인을 찾고 탈출할 수 있을까?",49,52.0,2022.03.06,2022.03.06,1,9.3,0,3,https://shared-comic.pstatic.net/thumb/webtoon/791676/thumbnail/thumbnail_IMAG10_022be635-a126-42ec-ad6c-2eb4a7a8fe2d.jpg
17,18,감 비서가 고장났다,https://comic.naver.com/webtoon/list?titleId=774706,1,퀀퀀 / 파란드,"언제나와 같은 야근길, 붕어빵 사고 남은 돈으로 지른 로또에 무려 1등으로 당첨된 ‘유은’.워라밸 없기로 악명높은 사장 ‘도혁’의 비서 일부터 당장 때려치우려 했지만… “제가 요즘… 감 비서 생각으로 머릿속이 가득 차 있거든요.”사장님이 고장났… 아니, 밑도 끝도 없이 말랑말랑해졌다?이제 와서 사람 흉내내도 소용없다며 밀어내려해도, 미남계를 곁들인 콤보 공격에 점점 흔들리는 유은. 그녀는 알까, 도혁도 똑같은 생각을 하고 있다는 것을.‘감 비서가 고장났다. 반드시 원래대로 고쳐놓고 말겠어.’","언제나와 같은 야근길, 붕어빵 사고 남은 돈으로 지른 로또에 무려 1등으로 당첨된 ‘유은’.워라밸 없기로 악명높은 사장 ‘도혁’의 비서 일부터 당장 때려치우려 했지만… “제가 요즘… 감 비서 생각으로 머릿속이 가득 차 있거든요.”사장님이 고장났… 아니, 밑도 끝도 없이 말랑말랑해졌다?이제 와서 사람 흉내내도 소용없다며 밀어내려해도, 미남계를 곁들인 콤보 공격에 점점 흔들리는 유은. 그녀는 알까, 도혁도 똑같은 생각을 하고 있다는 것을.‘감 비서가 고장났다. 반드시 원래대로 고쳐놓고 말겠어.’",791,56.0,2021.06.25,2021.08.06,1,9.6,0,0,https://shared-comic.pstatic.net/thumb/webtoon/774706/thumbnail/thumbnail_IMAG10_ea151726-0f9a-4f68-9a58-bb2b91edc47a.jpg
18,19,감염자,https://comic.naver.com/webtoon/list?titleId=675823,1,이강,사람을 잡아먹는 괴물 '감염자'나는 괴물이 되었다. 네이버 웹툰의 완결 만화로 장르는 스릴러이다. 만화 곳곳에 고어한 장면들이 있는 탓인지 19금 웹툰이다. 인체가 변형되고 식인을 한다는 점에서 일본 만화인 기생수와 도쿄구울과 비슷하다는 의견을 내는 독자가 많다. 특히 7화에서의 전개내용이 기생수랑 비슷하다고 하는 독자들이 있었다. 주인공이 인간과 괴물 사이 경계를 아슬아슬하게 넘나든다는 주제를 가지고 있기 때문에 이런 인상이 남을 수밖에 없다. 이때문에 감염자가 도쿄구울과 기생수의 표절작이라고 주장하는 사람들도 많다. 다만 차이점이라면 주인공이 인간이 아니도록 한 주체가 다른 인격이나 기생수로서 등장하지 않았고 주인공 조차도 전혀 뭐가 어떻게 된건지 의식을 못하고 있다는 점이다.,사람을 잡아먹는 괴물 '감염자'나는 괴물이 되었다.,100000,121.0,2016.04.02,2016.04.30,3,9.4,0,3,https://shared-comic.pstatic.net/thumb/webtoon/675823/thumbnail/thumbnail_IMAG10_20190617_migrated.jpg
19,20,감자마을,https://comic.naver.com/webtoon/list?titleId=759418,1,박지독,"감자 청년이 펼치는 격정막장 작물드라마!감자마을에 살고 있는 주인공 한감자는 꿈을 이루기 위해 감자마을을 떠난다.하지만 감자마을 밖은 고난과 역경 그 자체.마을을 떠나자마자 예상치 못한 살인 사건에 휘말리며 위험에 처하게 된다.과연 한감자는 무사히 살아남아 다시 감자마을로 돌아갈 수 있을 것인가? 그냥 보면 막장으로 보이지만 자세히 보면 개막장인 만화로(...) 등장인물들이 작물로 그려지기에 부각되지 않을 뿐 수위가 무척이나 높다. 시작부분인 1화에서부터 양파를 토막내는 장면이 나왔으며, 그 이외에도 협박, 불륜, 살인 등 사람으로 그렸다면 연재가 과연 가능했을까 싶은 요소들이 넘쳐난다 코미디",감자 청년이 펼치는 격정막장 작물드라마!감자마을에 살고 있는 주인공 한감자는 꿈을 이루기 위해 감자마을을 떠난다.하지만 감자마을 밖은 고난과 역경 그 자체.마을을 떠나자마자 예상치 못한 살인 사건에 휘말리며 위험에 처하게 된다.과연 한감자는 무사히 살아남아 다시 감자마을로 돌아갈 수 있을 것인가?,2918,69.0,2020.12.17,2021.01.21,1,9.9,0,5,https://shared-comic.pstatic.net/thumb/webtoon/759418/thumbnail/thumbnail_IMAG10_23004717-bb95-4c26-8986-052aa74646ac.jpg
20,21,감히,https://comic.naver.com/webtoon/list?titleId=738177,1,희나리,"진실을 향한 입과 귀를 틀어막고 짓누르는 그들. 이제 죽음에서 자유로워진 그녀의 복수가 시작된다. 지상최대공모전 2기 영상화/장려상 수상작! 내가 죽어야 끝난다? 다가오는 음모와 죽음 앞에 처절하게 맞선 한 여자 대략적인 줄거리는 유일한 혈육인 할아버지의 죽음의 뒷편에 가려진 진실을 파헤치려는 주인공과, 그런 주인공을 죽여서라도 진실을 은폐하려는 자들 간의 암투를 그렸다",진실을 향한 입과 귀를 틀어막고 짓누르는 그들. 이제 죽음에서 자유로워진 그녀의 복수가 시작된다.,23668,75.0,2019.12.19,2020.02.06,2,9.9,0,3,https://shared-comic.pstatic.net/thumb/webtoon/738177/thumbnail/thumbnail_IMAG10_79e41349-263e-4439-91b9-592a75c1da46.jpg
21,22,갑자기 커피,https://comic.naver.com/webtoon/list?titleId=742048,1,우 / 리지,"스무살, 첫 커피… 그리고 첫 사기…?!세계 최고의 바리스타였던 지오반니와 조금(?)은 특이한 직원들과 함께하는20살 동우의 본격 카페 알바 이야기!","스무살, 첫 커피… 그리고 첫 사기…?!세계 최고의 바리스타였던 지오반니와 조금(?)은 특이한 직원들과 함께하는20살 동우의 본격 카페 알바 이야기!",13061,30.0,2020.03.18,2020.05.20,0,9.3,0,5,https://shared-comic.pstatic.net/thumb/webtoon/742048/thumbnail/thumbnail_IMAG10_8124960c-6033-461a-8b0c-a2996b13d976.jpg
22,23,갓 오브 하이스쿨,https://comic.naver.com/webtoon/list?titleId=318995,1,박용제,"전국, 전세계 고등학생 중 가장 쎈 녀석을 뽑는 대회가 열린다.허구 100% 막장 액션의 끝!! 기대하시라!!! 우승하면 무엇이든 소원을 들어주는 갓 오브 하이스쿨, 일명 G.O.H라는 격투기 대회에 저마다 소원을 가지고 참전한 고등학생들과 주인공 진모리의 이야기를 그리고 있다 상당히 거친 작화와 호쾌한 전투씬이 돋보이는 정통파 소년만화. 세계 각지의 강자들이 초대받아 여러 무술로 대결을 벌인다는 구도는 전반적으로 철권 시리즈,더 킹 오브 파이터즈 시리즈를 연상하게 하며, 등장하는 무술들은 태극권, 태권도, 공수도 등등 현실에도 존재하는 무술들이지만 그 무술이 그 무술이 아니다","전국, 전세계 고등학생 중 가장 쎈 녀석을 뽑는 대회가 열린다.허구 100% 막장 액션의 끝!! 기대하시라!!!",100000,574.0,2022.09.01,2022.11.03,1,9.89,0,2,https://shared-comic.pstatic.net/thumb/webtoon/318995/thumbnail/title_thumbnail_20110407182655_t83x90.jpg
23,24,갓!김치,https://comic.naver.com/webtoon/list?titleId=730258,1,김민우,"?1000% 신토불이 히어로 등장! 나라에서 허락한 유일한 마약 국뽕! 히어로가 만연한 시대 한국정부는 한국적인 히어로를 만드려는 프로젝트를 진행한다. 한국의 유전학의 정점에 있는 유전자 박사는 한국적인 히어로를 만들어야 한다는 부담감을 가지고 김치 유전자를 만들게 되는데... 한편 특전사 군인 신분이었던 김장군 중사는 이 프로젝트에 참가하면서 자신이 멋진 히어로가 될 것이라는 엄청난 기대감을 가지고 있다 클리셰 범벅, 패러디 범람, 국뽕 200% 치사량 초과 김치맨이 되버린 군이의 이야기",?1000% 신토불이 히어로 등장!,14350,52.0,2019.07.06,2019.09.07,0,7.3,1,5,https://shared-comic.pstatic.net/thumb/webtoon/730258/thumbnail/thumbnail_IMAG10_cbc6909e-351d-4bdf-89c8-48ae1d15a58e.jpg
24,25,갓도령스,https://comic.naver.com/webtoon/list?titleId=732255,1,도로롱,갓을 쓴 네명의 꽃도령그들과 함께 드랍 더 비트!,갓을 쓴 네명의 꽃도령그들과 함께 드랍 더 비트!,49306,55.0,2020.06.24,2020.08.26,0,9.97,0,1,https://shared-comic.pstatic.net/thumb/webtoon/732255/thumbnail/thumbnail_IMAG10_5ec56e18-264e-4347-ad9b-8ac30274ec8a.jpg
25,26,갓물주,https://comic.naver.com/webtoon/list?titleId=731297,1,HD3,과거로 갈 수 있는 건물을 얻게 된 평범한 청년 송강기.시간 이동으로 내가 얻은 이득만큼 누군가는 피해를 보게 되는 파이 싸움의 현실!강기는 과연 어떤 선택을 해 나갈 것인가...,과거로 갈 수 있는 건물을 얻게 된 평범한 청년 송강기.시간 이동으로 내가 얻은 이득만큼 누군가는 피해를 보게 되는 파이 싸움의 현실!강기는 과연 어떤 선택을 해 나갈 것인가...,100000,74.0,2019.07.23,2019.09.03,0,9.5,0,1,https://shared-comic.pstatic.net/thumb/webtoon/731297/thumbnail/thumbnail_IMAG10_df561e4d-07f3-4a43-8098-2449b5f35918.jpg
26,27,갓트,https://comic.naver.com/webtoon/list?titleId=790453,1,서패스 / 아거주누,"12계열의 갓트(GOD-Tribe)가 서로 싸우며 공존하는 세상.육식계에게 학대를 받으며 일하던 환식계 꼬마 랏데는포식자에 제물로 바쳐졌으나, 영웅 타세르에 의해 구원된다.타세르의 말에 따르면 랏데가 바로 포식자들에 맞서 세상을 구원할천년에 한번 태어나는 계시된 존재였고,이후 모든 '갓트'집단의 리더가 될 운명이었다.이제 타세르와의 수련 후, 세상을 뒤집는 복수가 시작된다.","12계열의 갓트(GOD-Tribe)가 서로 싸우며 공존하는 세상.육식계에게 학대를 받으며 일하던 환식계 꼬마 랏데는포식자에 제물로 바쳐졌으나, 영웅 타세르에 의해 구원된다.타세르의 말에 따르면 랏데가 바로 포식자들에 맞서 세상을 구원할천년에 한번 태어나는 계시된 존재였고,이후 모든 '갓트'집단의 리더가 될 운명이었다.이제 타세르와의 수련 후, 세상을 뒤집는 복수가 시작된다.",185,34.0,2022.08.03,2022.10.05,2,9.91,0,2,https://shared-comic.pstatic.net/thumb/webtoon/790453/thumbnail/thumbnail_IMAG10_e1ff0673-bd65-4b4e-91e2-31fbbec78861.jpg
27,28,갓핑크,https://comic.naver.com/webtoon/list?titleId=715159,1,이상신 / 국중록,흥분하면 거대해지는 그놈!박성기를 함부로 자극하지 마라?생체병기 '핑크맨'의 신체 부위를 나눠가진 초능력자들이 펼치는 박진감 넘치는 액션 초강력한 생체병기,흥분하면 거대해지는 그놈!박성기를 함부로 자극하지 마라?생체병기 '핑크맨'의 신체 부위를 나눠가진 초능력자들이 펼치는 박진감 넘치는 액션,100000,151.0,2018.12.07,2019.02.08,2,9.6,0,2,https://shared-comic.pstatic.net/thumb/webtoon/715159/thumbnail/thumbnail_IMAG10_320c4a09-d0d3-43b1-be41-f713846ee0f9.jpg
28,29,강남도깨비,https://comic.naver.com/webtoon/list?titleId=733728,1,이경민 / 송준혁,"전세계 44명, 황금의 피를 가진 전교1등을 노리는 도깨비가 나타났다.지상 최대 공모전 최우수상 수상작!!","전세계 44명, 황금의 피를 가진 전교1등을 노리는 도깨비가 나타났다.지상 최대 공모전 최우수상 수상작!!",72280,114.0,2021.09.11,2021.11.13,2,9.79,0,2,https://shared-comic.pstatic.net/thumb/webtoon/733728/thumbnail/thumbnail_IMAG10_7a59a85d-9d48-4564-8c78-4c96a0be92d9.jpg
29,30,강림전기 개정기,https://comic.naver.com/webtoon/list?titleId=762777,1,철무장미 / 장군,"얼굴 학력 성품 모든 것이 완벽한 전교 1등 우등생 하린.그런 그의 옆자리를 차지한 괴상한 전학생이, 오늘부터 하린을 죽이겠다는데?!무협 소설 <강림전기>에서 튀어나온 악마, 최강림과의 파란만장 학교생활 판타지.","얼굴 학력 성품 모든 것이 완벽한 전교 1등 우등생 하린.그런 그의 옆자리를 차지한 괴상한 전학생이, 오늘부터 하린을 죽이겠다는데?!무협 소설 <강림전기>에서 튀어나온 악마, 최강림과의 파란만장 학교생활 판타지.",724,61.0,2020.12.31,2021.02.11,1,9.8,1,4,https://shared-comic.pstatic.net/thumb/webtoon/762777/thumbnail/thumbnail_IMAG10_2786b230-7585-4c95-80e8-16e8e8fa9f2d.jpg
30,31,강변살다,https://comic.naver.com/webtoon/list?titleId=578108,1,박윤영,이강변이라는 이름의 그녀가 펼쳐가는 20대 청춘 로맨스,이강변이라는 이름의 그녀가 펼쳐가는 20대 청춘 로맨스,100000,199.0,2013.08.05,2013.09.23,1,9.6,0,0,https://shared-comic.pstatic.net/thumb/webtoon/578108/thumbnail/title_thumbnail_20140127223051_t83x90.jpg
31,32,강시대소동,https://comic.naver.com/webtoon/list?titleId=483796,1,주동근,강시대소동 야영지에 강시가 나타났다! 찌질한 우리라도 막아야 한다!,강시대소동 야영지에 강시가 나타났다! 찌질한 우리라도 막아야 한다!,36323,107.0,2012.07.29,2012.09.30,2,9.2,0,3,https://shared-comic.pstatic.net/thumb/webtoon/483796/thumbnail/title_thumbnail_20120622115641_t83x90.jpg
