,no,keyword,type
286,142,인외존재,2
287,142,삼각관계,5
288,142,로맨스,1
289,143,오컬트,2
290,143,드라마,1
291,144,스릴러,1
292,145,판타지,1
293,146,액션,1
294,147,인외존재,2
295,147,로판,1
296,147,로맨스,1
297,148,드라마,1
298,149,스릴러,1
299,150,판타지,1
300,150,소설원작,6
301,151,2020 지상최대공모전,4
302,151,힐링,3
303,151,음식요리,2
304,151,동물,2
305,151,드라마,1
306,152,빙의,2
307,152,판타지,1
308,152,소설원작,6
309,153,2030연애,2
310,153,계약연애,5
311,153,현실로맨스,2
312,153,오피스로맨스,2
313,153,사내연애,2
314,153,로맨스,1
315,153,소설원작,6
316,154,빙의,2
317,154,로맨스,1
318,154,소설원작,6
319,155,판타지,1
320,156,로맨스,1
321,157,프리퀄,1
322,157,학원로맨스,2
323,157,하이틴,2
324,157,청춘로맨스,2
325,157,재회,5
326,157,로맨스,1
327,158,혐관로맨스,2
328,158,회귀,2
329,158,구원서사,5
330,158,로맨스,1
331,158,소설원작,6
332,159,서스펜스,3
333,159,구원서사,5
334,159,드라마,1
335,160,스릴러,1
336,161,판타지,1
337,162,액션,1
338,163,드라마,1
339,164,로맨스,1
340,165,드라마&영화 원작웹툰,6
341,165,드라마,1
342,166,2021 지상최대공모전,6
343,166,스릴러,1
344,167,레트로,3
345,167,공감성수치,3
346,167,로맨스,1
347,168,최강자전,4
348,168,2016 최강자전,4
349,168,로맨스,1
350,169,삼각관계,5
351,169,로맨스,1
352,170,드라마&영화 원작웹툰,6
353,170,연예계,2
354,170,로맨스,1
355,170,소설원작,6
356,171,액션,1
357,172,드라마,1
358,173,로맨스코미디,1
359,173,캠퍼스로맨스,2
360,173,인플루언서,2
361,173,걸크러시,5
362,173,로맨스,1
363,174,격투기,2
364,174,스포츠,1
365,175,감성,3
366,176,동양풍판타지,1
367,176,로맨스,1
368,176,소설원작,6
369,177,스릴러,1
370,178,최강자전,4
371,178,2020 최강자전,4
372,178,판타지,1
373,179,아포칼립스,2
374,179,스릴러,1
375,180,느와르,1
376,180,액션,1
377,181,드라마,1
378,182,스릴러,1
379,183,퓨전사극,1
