,no,keyword,type
1223,595,무협/사극,1
1224,596,개그,1
1225,597,의학드라마,2
1226,597,무협/사극,1
1227,598,판타지,1
1228,599,로맨스코미디,1
1229,599,로판,1
1230,599,로맨스,1
1231,599,소설원작,6
1232,600,드라마,1
1233,601,동물,2
1234,601,판타지,1
1235,602,드라마,1
1236,603,계약연애,5
1237,603,직진남,5
1238,603,인외존재,2
1239,603,연예계,2
1240,603,삼각관계,5
1241,603,뱀파이어,2
1242,603,로맨스,1
1243,604,최강자전,4
1244,604,2020 최강자전,4
1245,604,아포칼립스,2
1246,604,드라마,1
1247,605,2030연애,2
1248,605,하이퍼리얼리즘,1
1249,605,전남친,5
1250,605,청춘로맨스,2
1251,605,재회,5
1252,605,연예계,2
1253,605,삼각관계,5
1254,605,드라마,1
1255,606,드라마,1
1256,607,액션,1
1257,607,성인웹툰,1
1258,608,드라마,1
1259,609,스포츠,1
1260,610,판타지,1
1261,611,최강자전,4
1262,611,2014 최강자전,4
1263,611,판타지,1
1264,612,로맨스,1
1265,613,스릴러,1
1266,614,오컬트,2
1267,614,스릴러,1
1268,615,스릴러,1
1269,616,드라마,1
1270,617,개그,1
1271,618,개그,1
1272,619,스릴러,1
1273,620,스릴러,1
1274,621,감성,3
1275,622,최강자전,4
1276,622,2016 최강자전,4
1277,622,스릴러,1
1278,623,사이비종교,2
1279,623,스릴러,1
1280,624,일상,1
1281,625,사내연애,2
1282,625,로맨스,1
1283,625,소설원작,6
1284,626,로맨스,1
1285,627,로맨스,1
1286,627,소설원작,6
1287,628,동양풍판타지,1
1288,628,판타지,1
1289,629,2030연애,2
1290,629,현실로맨스,2
1291,629,하이퍼리얼리즘,1
1292,629,오피스로맨스,2
1293,629,로맨스,1
1294,630,직업드라마,2
1295,630,밀리터리,2
1296,630,스릴러,1
1297,631,프리퀄,1
1298,631,밀리터리,2
1299,631,하이퍼리얼리즘,1
1300,631,서스펜스,3
1301,631,스릴러,1
1302,632,로맨스,1
1303,632,소설원작,6
1304,633,스릴러,1
1305,633,소설원작,6
1306,634,드라마,1
1307,635,퓨전사극,1
1308,635,로맨스,1
1309,635,소설원작,6
1310,636,판타지,1
1311,636,소설원작,6
1312,637,로맨스,1
1313,638,다크판타지,1
1314,638,판타지,1
1315,639,2020 지상최대공모전,4
1316,639,드라마,1
1317,640,최강자전,4
1318,640,2013 최강자전,4
1319,640,판타지,1
1320,641,캠퍼스로맨스,2
1321,641,역하렘,1
1322,641,삼각관계,5
1323,641,로맨스,1
1324,642,드라마,1
1325,643,드라마,1
1326,644,아포칼립스,2
1327,644,스릴러,1
1328,645,드라마,1
1329,646,아포칼립스,2
1330,646,감염,6
1331,646,스릴러,1
1332,647,오컬트,2
1333,647,인외존재,2
1334,647,로맨스,1
1335,648,회귀,2
1336,648,선결혼후연애,5
1337,648,로맨스,1
1338,648,소설원작,6
1339,649,로맨스,1
1340,650,판타지,1
1341,651,판타지,1
1342,652,판타지,1
1343,653,스릴러,1
1344,654,2020 지상최대공모전,4
1345,654,판타지,1
1346,655,2019 지상최대공모전,4
1347,655,로맨스,1
1348,656,음식요리,2
1349,656,감성,3
1350,657,개그,1
1351,658,로맨스,1
1352,659,아포칼립스,2
1353,659,드라마,1
1354,659,성인웹툰,1
1355,660,힐링,3
1356,660,학원로맨스,2
1357,660,청춘로맨스,2
1358,660,음식요리,2
1359,660,감성드라마,3
1360,660,로맨스,1
1361,661,동양풍판타지,1
1362,661,인외존재,2
1363,661,성장드라마,2
1364,661,드라마,1
1365,662,차원이동,2
1366,662,판타지,1
1367,663,드라마,1
1368,664,드라마,1
1369,665,액션,1
1370,666,스릴러,1
1371,667,음식요리,2
1372,667,드라마,1
1373,668,히어로,1
1374,668,일상,1
1375,669,격투기,2
1376,669,판타지,1
1377,670,개그,1
1378,671,판타지,1
1379,672,로맨스,1
1380,672,소설원작,6
1381,673,음식요리,2
1382,673,감성드라마,3
1383,673,드라마,1
1384,674,판타지,1
1385,675,동양풍판타지,1
1386,675,복수극,2
1387,675,로맨스,1
1388,676,스릴러,1
1389,677,판타지,1
1390,678,로맨스,1
1391,678,소설원작,6
1392,679,판타지,1
1393,680,판타지,1
1394,681,2021 지상최대공모전,6
1395,681,게임판타지,2
1396,681,먼치킨,2
1397,681,판타지,1
1398,682,판타지,1
1399,683,로맨스,1
1400,683,소설원작,6
1401,684,고자극로맨스,2
1402,684,궁중로맨스,2
1403,684,까칠남,5
1404,684,로맨스,1
1405,684,소설원작,6
1406,684,성인웹툰,1
1407,685,드라마,1
1408,686,판타지,1
1409,687,개그,1
1410,688,판타지,1
1411,689,야구,2
1412,689,스포츠,1
1413,690,퓨전사극,1
1414,690,동물,2
1415,690,일상,1
1416,691,로맨스,1
1417,691,소설원작,6
1418,692,학원물,6
1419,692,서스펜스,3
1420,692,복수극,2
1421,692,드라마,1
1422,692,성인웹툰,1
1423,693,서스펜스,3
1424,693,스릴러,1
1425,694,스릴러,1
1426,694,성인웹툰,1
1427,695,로맨스,1
1428,696,로맨스,1
1429,697,두뇌싸움,2
1430,697,스릴러,1
1431,698,게임판타지,2
1432,698,판무,1
1433,698,판타지,1
1434,698,소설원작,6
1435,699,힐링,3
1436,699,청춘로맨스,2
1437,699,인플루언서,2
1438,699,성장드라마,2
1439,699,로맨스,1
1440,700,최강자전,4
1441,700,2019 최강자전,4
1442,700,친구>연인,5
1443,700,연상연하,5
1444,700,연예계,2
1445,700,삼각관계,5
1446,700,로맨스,1
1447,701,히어로,1
1448,701,연예계,2
1449,701,판타지,1
1450,702,판타지,1
1451,703,하이틴,2
1452,703,청춘로맨스,2
1453,703,레트로,3
1454,703,드라마,1
1455,704,2019 지상최대공모전,4
1456,704,드라마,1
1457,705,밀리터리,2
1458,705,드라마,1
1459,706,드라마,1
1460,707,인플루언서,2
1461,707,서스펜스,3
1462,707,드라마,1
1463,708,액션,1
1464,709,힐링,3
1465,709,드라마,1
1466,710,오컬트,2
1467,710,인외존재,2
1468,710,이능력배틀물,1
1469,710,성장드라마,2
1470,710,다크판타지,1
1471,710,판타지,1
1472,711,오컬트,2
1473,711,액션,1
1474,712,액션,1
1475,713,로맨스,1
1476,713,소설원작,6
1477,714,감성,3
1478,715,로맨스,1
1479,716,서스펜스,3
1480,716,스릴러,1
1481,717,로맨스,1
1482,717,소설원작,6
1483,718,사이다,3
1484,718,병맛,3
1485,718,학원물,6
1486,718,성장드라마,2
1487,718,드라마,1
1488,719,드라마,1
1489,720,판타지,1
1490,721,드라마,1
1491,722,역사물,1
1492,722,무협/사극,1
1493,723,괴담,3
1494,723,스릴러,1
1495,724,개그,1
1496,725,일상,1
1497,726,인플루언서,2
1498,726,서스펜스,3
1499,726,드라마,1
1500,727,일상,1
1501,728,액션,1
1502,729,감성,3
1503,730,로판,1
1504,730,로맨스,1
1505,730,소설원작,6
1506,731,개그,1
1507,732,판타지,1
1508,732,소설원작,6
1509,733,로맨스,1
1510,734,액션,1
1511,735,판타지,1
1512,736,최강자전,4
1513,736,2017 최강자전,6
1514,736,스포츠성장,2
1515,736,스포츠,1
1516,737,드라마,1
1517,738,드라마,1
1518,739,2020 지상최대공모전,4
1519,739,스릴러,1
1520,740,로맨스,1
1521,741,로맨스,1
1522,742,2021 지상최대공모전,6
1523,742,서스펜스,3
1524,742,스릴러,1
1525,743,아포칼립스,2
1526,743,스릴러,1
1527,744,스릴러,1
1528,745,비밀연애,2
1529,745,현실로맨스,2
1530,745,직진남,5
1531,745,오피스로맨스,2
1532,745,사내연애,2
1533,745,로맨스,1
1534,746,판타지,1
1535,747,사이다,3
1536,747,동양풍판타지,1
1537,747,복수극,2
1538,747,먼치킨,2
1539,747,액션,1
1540,748,직업드라마,2
1541,748,밀리터리,2
1542,748,드라마,1
1543,749,드라마,1
1544,750,액션,1
1545,751,환골탈태,2
1546,751,세계관,2
1547,751,사이다,3
1548,751,소년왕도물,1
1549,751,느와르,1
1550,751,액션,1
1551,752,히어로,1
1552,752,액션,1
1553,753,드라마,1
1554,754,판타지,1
1555,755,스릴러,1
1556,756,아포칼립스,2
1557,756,병맛,3
1558,756,머니게임,2
1559,756,개그,1
1560,757,2021 지상최대공모전,6
1561,757,판타지,1
1562,758,두뇌싸움,2
1563,758,느와르,1
1564,758,액션,1
1565,759,액션,1
1566,760,판타지,1
1567,761,드라마,1
1568,762,드라마,1
1569,763,2021 지상최대공모전,6
1570,763,서스펜스,3
1571,763,복수극,2
1572,763,두뇌싸움,2
1573,763,스릴러,1
1574,764,일상,1
1575,765,고자극로맨스,2
1576,765,2030연애,2
1577,765,직진남,5
1578,765,오피스로맨스,2
1579,765,로맨스,1
1580,765,소설원작,6
1581,766,드라마,1
1582,767,판타지,1
1583,768,2020 지상최대공모전,4
1584,768,아포칼립스,2
1585,768,좀비,2
1586,768,감염,6
1587,768,드라마,1
1588,769,고자극로맨스,2
1589,769,로맨스,1
1590,769,성인웹툰,1
1591,770,직업드라마,2
1592,770,사이다,3
1593,770,다크히어로,2
1594,770,느와르,1
1595,770,액션,1
1596,771,드라마,1
1597,772,무협/사극,1
1598,773,농구,2
1599,773,스포츠성장,2
1600,773,스포츠,1
1601,774,2019 지상최대공모전,4
1602,774,축구,2
1603,774,소년왕도물,1
1604,774,스포츠성장,2
1605,774,스포츠,1
1606,775,복수극,2
1607,775,판타지,1
1608,776,스릴러,1
1609,777,판타지,1
1610,778,재회,5
1611,778,로맨스,1
1612,779,학원로맨스,2
1613,779,뱀파이어,2
1614,779,로맨스,1
1615,780,스릴러,1
1616,781,로맨스,1
1617,782,이능력배틀물,1
1618,782,스릴러,1
1619,783,드라마,1
1620,784,스릴러,1
1621,785,로판,1
1622,785,판타지,1
1623,785,소설원작,6
1624,786,드라마,1
1625,787,드라마&영화 원작웹툰,6
1626,787,느와르,1
1627,787,액션,1
1628,787,성인웹툰,1
1629,788,드라마,1
1630,789,판타지,1
1631,790,로맨스,1
1632,791,이세계,1
1633,791,판타지,1
1634,792,아포칼립스,2
1635,792,좀비,2
1636,792,감염,6
1637,792,스릴러,1
1638,793,로맨스,1
1639,794,회귀,2
1640,794,로맨스,1
1641,795,드라마,1
1642,796,로맨스,1
1643,796,소설원작,6
1644,797,드라마,1
1645,798,드라마,1
1646,799,하이틴,2
1647,799,학원로맨스,2
1648,799,친구>연인,5
1649,799,걸크러시,5
1650,799,로맨스,1
1651,800,로맨스,1
1652,801,연예계,2
1653,801,로맨스,1
1654,802,무협/사극,1
1655,803,먼치킨,2
1656,803,무협/사극,1
1657,803,소설원작,6
1658,804,드라마,1
1659,805,드라마,1
1660,806,일상,1
1661,807,무협/사극,1
1662,807,소설원작,6
1663,808,이능력배틀물,1
1664,808,소년왕도물,1
1665,808,먼치킨,2
1666,808,액션,1
1667,809,개그,1
1668,810,로맨스,1
1669,810,소설원작,6
1670,811,판타지,1
1671,812,드라마,1
1672,813,판타지,1
1673,814,판타지,1
1674,815,드라마,1
1675,816,드라마,1
1676,817,개그,1
1677,818,퓨전사극,1
1678,818,로맨스,1
1679,818,소설원작,6
1680,819,로맨스,1
1681,820,이세계,1
1682,820,음식요리,2
1683,820,판타지,1
1684,820,소설원작,6
1685,821,사이다,3
1686,821,스릴러,1
1687,822,로맨스,1
1688,823,드라마,1
1689,824,스릴러,1
1690,824,성인웹툰,1
1691,825,로맨스,1
1692,825,소설원작,6
1693,826,격투기,2
1694,826,액션,1
1695,827,서바이벌,2
1696,827,아포칼립스,2
1697,827,학원로맨스,2
1698,827,빙의,2
1699,827,구원서사,5
1700,827,판타지,1
1701,828,스릴러,1
1702,829,스릴러,1
1703,830,스핀오프,1
1704,830,스릴러,1
1705,831,무협/사극,1
1706,832,로맨스,1
1707,833,개그,1
1708,834,무협/사극,1
1709,835,액션,1
1710,836,감성드라마,3
1711,836,드라마,1
1712,837,드라마,1
1713,838,직업드라마,2
1714,838,머니게임,2
1715,838,드라마,1
1716,838,소설원작,6
1717,839,액션,1
1718,840,드라마,1
1719,841,학원물,6
1720,841,판타지,1
1721,842,액션,1
1722,842,성인웹툰,1
1723,843,드라마,1
1724,844,연상연하,5
1725,844,로맨스,1
1726,844,소설원작,6
1727,845,스릴러,1
1728,846,판타지,1
1729,847,드라마,1
1730,848,드라마,1
1731,849,2021 지상최대공모전,6
1732,849,오컬트,2
1733,849,로맨스,1
1734,850,서바이벌,2
1735,850,아포칼립스,2
1736,850,인플루언서,2
1737,850,액션,1
1738,851,일상,1
1739,852,성장드라마,2
1740,852,로맨스,1
1741,853,액션,1
1742,854,최강자전,4
1743,854,2013 최강자전,4
1744,854,판타지,1
1745,855,판타지,1
1746,856,삼각관계,5
1747,856,로맨스,1
1748,857,성장드라마,2
1749,857,먼치킨,2
1750,857,판타지,1
1751,858,헌터물,1
1752,858,먼치킨,2
1753,858,판타지,1
1754,858,소설원작,6
1755,859,로맨스,1
1756,859,소설원작,6
1757,860,로맨스,1
1758,861,로맨스,1
1759,862,2030연애,2
1760,862,삼각관계,5
1761,862,복수극,2
1762,862,걸크러시,5
1763,862,로맨스,1
1764,863,드라마&영화 원작웹툰,6
1765,863,연상연하,5
1766,863,로맨스,1
1767,863,소설원작,6
1768,864,로맨스,1
1769,865,로맨스,1
1770,866,소꿉친구,5
1771,866,2021 최강자전,4
1772,866,학원로맨스,2
1773,866,하이틴,2
1774,866,성장드라마,2
1775,866,로맨스,1
1776,867,드라마,1
1777,868,병맛,3
1778,868,개그,1
1779,869,감성드라마,3
1780,869,드라마,1
1781,870,드라마,1
1782,871,로맨스,1
1783,871,소설원작,6
1784,872,직업드라마,2
1785,872,연예계,2
1786,872,드라마,1
1787,872,소설원작,6
1788,873,드라마,1
1789,874,드라마,1
1790,875,소꿉친구,5
1791,875,학원로맨스,2
1792,875,하이틴,2
1793,875,친구>연인,5
1794,875,성장드라마,2
1795,875,레트로,3
1796,875,까칠남,5
1797,875,로맨스,1
1798,876,판타지,1
1799,877,로맨스,1
1800,878,고자극로맨스,2
1801,878,혐관로맨스,2
1802,878,선결혼후연애,5
1803,878,로맨스,1
1804,879,타임슬립,2
1805,879,로맨스,1
1806,880,로맨스,1
1807,881,머니게임,2
1808,881,드라마,1
1809,882,로맨스,1
1810,883,드라마,1
1811,884,스릴러,1
1812,885,힐링,3
1813,885,육아물,2
1814,885,이세계,1
1815,885,드라마,1
1816,885,소설원작,6
1817,886,스릴러,1
1818,886,성인웹툰,1
1819,887,드라마,1
1820,888,감성,3
1821,889,스릴러,1
1822,890,드라마,1
1823,891,액션,1
1824,892,학원로맨스,2
1825,892,하이틴,2
1826,892,직진남,5
1827,892,삼각관계,5
1828,892,까칠남,5
1829,892,감성드라마,3
1830,892,드라마,1
1831,893,2019 지상최대공모전,4
1832,893,공감성수치,3
1833,893,드라마,1
1834,894,로맨스,1
1835,895,게임판타지,2
1836,895,성장드라마,2
1837,895,판타지,1
1838,896,로맨스,1
1839,897,개그,1
1840,898,판타지,1
1841,898,소설원작,6
1842,899,하이퍼리얼리즘,1
1843,899,레트로,3
1844,899,드라마,1
1845,900,판타지,1
1846,901,오컬트,2
1847,901,괴담,3
1848,901,스릴러,1
1849,902,2021 지상최대공모전,6
1850,902,드라마,1
1851,903,드라마,1
1852,904,로맨스,1
1853,905,판타지,1
1854,906,드라마,1
1855,906,성인웹툰,1
1856,907,일상,1
1857,908,로맨스,1
1858,909,로맨스,1
1859,909,소설원작,6
1860,910,로맨스,1
1861,911,연상연하,5
1862,911,성장드라마,2
1863,911,감성드라마,3
1864,911,드라마,1
1865,912,로맨스,1
1866,913,2019 지상최대공모전,4
1867,913,스릴러,1
1868,914,드라마,1
1869,915,소꿉친구,5
1870,915,음식요리,2
1871,915,로맨스,1
1872,916,드라마&영화 원작웹툰,6
1873,916,드라마,1
1874,917,드라마&영화 원작웹툰,6
1875,917,드라마,1
1876,918,병맛,3
1877,918,학원물,6
1878,918,액션,1
1879,919,개그,1
1880,920,스릴러,1
1881,921,로맨스,1
1882,922,스릴러,1
1883,923,로맨스,1
1884,924,스포츠성장,2
1885,924,일상,1
1886,925,판타지,1
1887,926,드라마,1
1888,927,로맨스,1
1889,928,로맨스,1
1890,929,하이퍼리얼리즘,1
1891,929,인플루언서,2
1892,929,머니게임,2
1893,929,드라마,1
1894,930,현실로맨스,2
1895,930,오피스로맨스,2
1896,930,연상연하,5
1897,930,사내연애,2
1898,930,로맨스,1
1899,930,소설원작,6
1900,931,로맨스코미디,1
1901,931,연예계,2
1902,931,삼각관계,5
1903,931,로맨스,1
1904,932,로맨스코미디,1
1905,932,로맨스,1
1906,933,액션,1
1907,934,회귀,2
1908,934,로맨스,1
1909,934,소설원작,6
1910,935,판타지,1
1911,936,로맨스,1
1912,936,소설원작,6
1913,937,2019 지상최대공모전,4
1914,937,아포칼립스,2
1915,937,판타지,1
1916,938,소꿉친구,5
1917,938,친구>연인,5
1918,938,인외존재,2
1919,938,로맨스,1
1920,939,연예계,2
1921,939,감성,3
1922,939,소설원작,6
1923,940,개그,1
1924,942,일상,1
1925,943,일상,1
1926,944,일상,1
1927,945,로맨스,1
1928,946,드라마,1
1929,947,학원로맨스,2
1930,947,로맨스,1
1931,948,로맨스,1
1932,948,소설원작,6
1933,949,개그,1
1934,950,판타지,1
1935,951,힘숨찐,2
1936,951,학원물,6
1937,951,액션,1
1938,952,판타지,1
1939,953,스릴러,1
1940,954,서스펜스,3
1941,954,괴담,3
1942,954,스릴러,1
1943,955,로맨스,1
1944,956,액션,1
1945,957,스포츠성장,2
1946,957,스포츠,1
1947,958,히어로,1
1948,958,판타지,1
1949,959,판타지,1
1950,959,성인웹툰,1
1951,960,판타지,1
1952,960,성인웹툰,1
1953,961,판타지,1
1954,961,성인웹툰,1
1955,962,판타지,1
1956,962,성인웹툰,1
1957,963,액션,1
1958,964,다크판타지,1
1959,964,판타지,1
1960,965,드라마,1
1961,966,아포칼립스,2
1962,966,스릴러,1
1963,966,성인웹툰,1
1964,967,성장드라마,2
1965,967,감성드라마,3
1966,967,로맨스,1
1967,968,로맨스,1
1968,969,판타지,1
1969,970,판타지,1
1970,971,현실로맨스,2
1971,971,드라마,1
1972,972,드라마,1
1973,973,로맨스,1
1974,973,소설원작,6
1975,974,병맛,3
1976,974,판타지,1
1977,975,계약연애,5
1978,975,회귀,2
1979,975,선결혼후연애,5
1980,975,구원서사,5
1981,975,로맨스,1
1982,975,소설원작,6
1983,976,인외존재,2
1984,976,뱀파이어,2
1985,976,다크판타지,1
1986,976,액션,1
1987,977,액션,1
1988,977,소설원작,6
1989,978,로맨스,1
1990,979,최강자전,4
1991,979,2013 최강자전,4
1992,979,드라마,1
1993,980,로맨스코미디,1
1994,980,궁중로맨스,2
1995,980,계약연애,5
1996,980,삼각관계,5
1997,980,로판,1
1998,980,로맨스,1
1999,980,소설원작,6
2000,981,드라마,1
2001,982,개그,1
2002,983,최강자전,4
2003,983,2017 최강자전,6
2004,983,드라마,1
2005,984,오컬트,2
2006,984,스릴러,1
2007,985,역사물,1
2008,985,무협/사극,1
2009,985,소설원작,6
2010,986,영화원작웹툰,6
2011,986,드라마&영화 원작웹툰,6
2012,986,판타지,1
2013,987,소년왕도물,1
2014,987,액션,1
2015,988,아포칼립스,2
2016,988,이능력배틀물,1
2017,988,액션,1
2018,989,판타지,1
2019,990,스릴러,1
2020,990,성인웹툰,1
2021,991,로맨스,1
2022,991,소설원작,6
2023,992,2019 지상최대공모전,4
2024,992,인외존재,2
2025,992,로판,1
2026,992,로맨스,1
2027,993,스릴러,1
2028,994,액션,1
2029,995,로맨스,1
2030,996,판타지,1
2031,997,판타지,1
2032,998,판타지,1
2033,999,판타지,1
2034,1000,세계관,2
2035,1000,이능력배틀물,1
2036,1000,소년왕도물,1
2037,1000,먼치킨,2
2038,1000,판타지,1
2039,1001,드라마,1
2040,1002,판타지,1
2041,1003,아포칼립스,2
2042,1003,사이다,3
2043,1003,게임판타지,2
2044,1003,회귀,2
2045,1003,헌터물,1
2046,1003,소년왕도물,1
2047,1003,먼치킨,2
2048,1003,구원서사,5
2049,1003,판타지,1
2050,1003,소설원작,6
2051,1004,판타지,1
2052,1005,판타지,1
2053,1006,개그,1
2054,1007,개그,1
2055,1008,개그,1
2056,1009,개그,1
2057,1010,스릴러,1
2058,1011,스릴러,1
2059,1011,성인웹툰,1
2060,1012,스릴러,1
2061,1013,드라마,1
2062,1014,드라마,1
2063,1015,판타지,1
2064,1016,드라마&영화 원작웹툰,6
2065,1016,드라마,1
2066,1017,격투기,2
2067,1017,액션,1
2068,1018,학원물,6
2069,1018,인플루언서,2
2070,1018,소년왕도물,1
2071,1018,액션,1
2072,1019,학원물,6
2073,1019,인플루언서,2
2074,1019,복수극,2
2075,1019,액션,1
2076,1020,학원물,6
2077,1020,액션,1
2078,1021,최강자전,4
2079,1021,2014 최강자전,4
2080,1021,드라마,1
2081,1022,사이다,3
2082,1022,두뇌싸움,2
2083,1022,구원서사,5
2084,1022,드라마,1
2085,1023,청춘로맨스,2
2086,1023,로맨스,1
2087,1024,액션,1
2088,1025,계략여주,5
2089,1025,2021 지상최대공모전,6
2090,1025,현실로맨스,2
2091,1025,서스펜스,3
2092,1025,로맨스,1
2093,1026,판타지,1
2094,1027,로맨스,1
2095,1027,소설원작,6
2096,1028,궁중로맨스,2
2097,1028,혐관로맨스,2
2098,1028,걸크러시,5
2099,1028,드라마,1
2100,1029,로맨스,1
2101,1029,소설원작,6
2102,1030,일상,1
2103,1031,영화원작웹툰,6
2104,1031,스릴러,1
2105,1032,타임슬립,2
2106,1032,회귀,2
2107,1032,학원로맨스,2
2108,1032,삼각관계,5
2109,1032,로맨스,1
2110,1033,로맨스,1
2111,1034,사이비종교,2
2112,1034,스릴러,1
2113,1035,일상,1
2114,1036,이능력배틀물,1
2115,1036,판타지,1
2116,1037,판타지,1
2117,1037,소설원작,6
2118,1038,드라마,1
2119,1039,스릴러,1
2120,1040,로맨스,1
2121,1040,소설원작,6
2122,1041,최강자전,4
2123,1041,2013 최강자전,4
2124,1041,판타지,1
2125,1042,드라마,1
2126,1043,드라마,1
2127,1044,드라마,1
2128,1044,성인웹툰,1
2129,1045,2020 지상최대공모전,4
2130,1045,동양풍판타지,1
2131,1045,판타지,1
2132,1046,로판,1
2133,1046,로맨스,1
2134,1046,소설원작,6
2135,1047,다크판타지,1
2136,1047,판타지,1
2137,1048,드라마,1
2138,1049,드라마,1
2139,1050,드라마,1
2140,1051,개그,1
2141,1052,아이돌연애,2
2142,1052,로맨스코미디,1
2143,1052,2021 지상최대공모전,6
2144,1052,좀비,2
2145,1052,연예계,2
2146,1052,로맨스,1
2147,1053,2020 지상최대공모전,4
2148,1053,연예계,2
2149,1053,성장드라마,2
2150,1053,드라마,1
2151,1054,드라마&영화 원작웹툰,6
2152,1054,감성드라마,3
2153,1054,드라마,1
2154,1055,육아물,2
2155,1055,감성드라마,3
2156,1055,드라마,1
2157,1056,판타지,1
2158,1057,판타지,1
2159,1058,무협/사극,1
2160,1059,무협/사극,1
2161,1060,2019 지상최대공모전,4
2162,1060,인외존재,2
2163,1060,이능력배틀물,1
2164,1060,액션,1
2165,1061,일상,1
2166,1062,스릴러,1
2167,1063,드라마&영화 원작웹툰,6
2168,1063,스릴러,1
2169,1064,드라마&영화 원작웹툰,6
2170,1064,스릴러,1
2171,1065,전남친,5
2172,1065,재회,5
2173,1065,연예계,2
2174,1065,선결혼후연애,5
2175,1065,로맨스,1
2176,1065,소설원작,6
2177,1066,최강자전,4
2178,1066,2019 최강자전,4
2179,1066,판타지,1
2180,1067,판타지,1
2181,1067,소설원작,6
2182,1068,최강자전,4
2183,1068,2015 최강자전,4
2184,1068,판타지,1
2185,1069,일상,1
2186,1070,2030연애,2
2187,1070,현실로맨스,2
2188,1070,감성드라마,3
2189,1070,로맨스,1
2190,1071,2021 지상최대공모전,6
2191,1071,빙의,2
2192,1071,로맨스,1
2193,1072,개그,1
2194,1073,액션,1
2195,1073,소설원작,6
2196,1074,액션,1
2197,1075,로맨스,1
2198,1075,소설원작,6
2199,1076,드라마,1
2200,1077,계약연애,5
2201,1077,인외존재,2
2202,1077,로맨스,1
2203,1078,스릴러,1
2204,1079,2020 지상최대공모전,4
2205,1079,괴담,3
2206,1079,스릴러,1
2207,1080,스릴러,1
2208,1080,성인웹툰,1
2209,1081,스릴러,1
2210,1082,스릴러,1
2211,1083,최강자전,4
2212,1083,2018 최강자전,4
2213,1083,스릴러,1
2214,1084,드라마,1
2215,1085,인외존재,2
2216,1085,로맨스,1
2217,1086,2019 지상최대공모전,4
2218,1086,오컬트,2
2219,1086,서스펜스,3
2220,1086,스릴러,1
2221,1087,드라마&영화 원작웹툰,6
2222,1087,성장드라마,2
2223,1087,드라마,1
2224,1088,감성,3
2225,1089,감성,3
2226,1090,일상,1
2227,1091,로맨스,1
2228,1092,로맨스,1
2229,1093,판타지,1
2230,1094,소꿉친구,5
2231,1094,현실로맨스,2
2232,1094,캠퍼스로맨스,2
2233,1094,직진남,5
2234,1094,까칠남,5
2235,1094,드라마,1
2236,1095,스릴러,1
2237,1096,로맨스,1
2238,1097,드라마,1
2239,1098,드라마,1
2240,1099,히어로,1
2241,1099,이능력배틀물,1
2242,1099,이세계,1
2243,1099,판타지,1
2244,1100,최강자전,4
2245,1100,2017 최강자전,6
2246,1100,개그,1
2247,1101,스릴러,1
2248,1101,성인웹툰,1
2249,1102,2030연애,2
2250,1102,로맨스코미디,1
2251,1102,현실로맨스,2
2252,1102,하이틴,2
2253,1102,하이퍼리얼리즘,1
2254,1102,청춘로맨스,2
2255,1102,로맨스,1
2256,1102,성인웹툰,1
2257,1103,힐링,3
2258,1103,음식요리,2
2259,1103,성장드라마,2
2260,1103,동물,2
2261,1103,일상,1
2262,1104,판무,1
2263,1104,판타지,1
2264,1105,개그,1
2265,1106,액션,1
2266,1107,개그,1
2267,1108,동물,2
2268,1108,로맨스,1
2269,1109,액션,1
2270,1110,스릴러,1
2271,1111,드라마,1
2272,1112,판타지,1
2273,1112,소설원작,6
2274,1113,스핀오프,1
2275,1113,스릴러,1
2276,1114,드라마&영화 원작웹툰,6
2277,1114,힘숨찐,2
2278,1114,학원물,6
2279,1114,액션,1
2280,1115,드라마,1
2281,1116,스릴러,1
2282,1117,최강자전,4
2283,1117,2017 최강자전,6
2284,1117,힘숨찐,2
2285,1117,히어로,1
2286,1117,이능력배틀물,1
2287,1117,먼치킨,2
2288,1117,판타지,1
2289,1118,성별반전,2
2290,1118,로맨스코미디,1
2291,1118,로판,1
2292,1118,로맨스,1
2293,1118,소설원작,6
2294,1119,아포칼립스,2
2295,1119,좀비,2
2296,1119,감염,6
2297,1119,스릴러,1
2298,1120,청춘로맨스,2
2299,1120,로맨스,1
2300,1121,드라마,1
2301,1121,소설원작,6
2302,1122,캠퍼스로맨스,2
2303,1122,로맨스,1
2304,1123,드라마,1
2305,1124,드라마,1
2306,1125,히어로,1
2307,1125,액션,1
2308,1126,히어로,1
2309,1126,액션,1
2310,1127,판타지,1
2311,1128,감성드라마,3
2312,1128,드라마,1
2313,1129,드라마&영화 원작웹툰,6
2314,1129,로맨스,1
2315,1130,로맨스코미디,1
2316,1130,2021 지상최대공모전,6
2317,1130,선결혼후연애,5
2318,1130,로맨스,1
2319,1131,개그,1
2320,1132,액션,1
2321,1133,전남친,5
2322,1133,로맨스,1
2323,1134,사이다,3
2324,1134,회귀,2
2325,1134,복수극,2
2326,1134,로판,1
2327,1134,로맨스,1
2328,1134,소설원작,6
2329,1135,스릴러,1
2330,1136,히어로,1
2331,1136,판타지,1
2332,1137,판타지,1
2333,1138,병맛,3
2334,1138,개그,1
2335,1139,좀비,2
2336,1139,스릴러,1
2337,1140,감성드라마,3
2338,1140,드라마,1
2339,1141,판타지,1
2340,1142,타임슬립,2
2341,1142,학원물,6
2342,1142,드라마,1
